atom_type,atom_value,first_seen,last_updated,subcategories,threat_scores,threat_types
file,32df8c49d6f89722c6aca8943883cfff3cdf34074e87ff48f7c96da5d732c02b,2022-02-04T04:22:22Z,2022-03-06T11:56:04Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']",[90],['malware']
file,4b7aecb006b8d3543265fc051e9b435bc0a8bb2698d5351604263e52a0af4a7c,2022-02-04T04:22:22Z,2022-02-16T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[100, 50]","['malware', 'phishing']"
file,4fc25c15ec17895569bcd9808efc8fa6,2022-01-16T15:12:39Z,2022-02-25T17:37:36Z,"['Malware:AsyncRAT', 'Malware:WhisperGate']","[86, 36, 52]","['malware', 'phishing', 'hack']"
file,5440415c4a1702084a7c49b7024d0c75b9528b71d1faa4c744e95435dad6b533,2022-02-04T04:22:22Z,2022-03-06T11:56:04Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']",[90],['malware']
file,5c18878e6d36906f9349ea404f0e3fa0e4b4432e663b3d58a738510b3e3c08e2,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,605b252e70e37bc187d19984b38be26832b6957ad003799c82f973924b506c44,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,612fc508dc63c4c4f8b033c1f5bb2120804263a8949df661b0e3e99e0a8952f5,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,63f3112aca7c36772cafac6482e4faece639035818be8f236e5f3f7b84ac420c,2022-02-04T04:22:22Z,2022-03-06T11:56:04Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']",[90],['malware']
file,65365420a3bb5d943ecd6668dd5dbfef,2021-07-17T17:45:07Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[86, 50]","['malware', 'phishing']"
file,6f4367872de08e9d087f6e8ab874db053eee0cc3aefc80d08f6cf98de7cefd2c,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,73d5bb5d4dfbdfe0fe845c9bfea06739cc767021b50327ddb4ef040940fed22f,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,798cd714cf9e352c1e9de3d48971a366b09eeffb3513950fd64737d882c25a38,2022-02-05T13:56:54Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[100, 50]","['malware', 'phishing']"
file,7bf33b494c70bd0a0a865b5fbcee0c58fa9274b8741b03695b45998bcd459328,2022-02-28T08:33:09Z,2022-03-10T00:00:00Z,"['Malware:Demo', 'Intrusion Set:Ghostwriter', 'Attack Pattern:Phishing - T1566', 'Malware:STOP Ransomware', 'Attack Pattern:Command and Scripting Interpreter - T1059']",[100],['malware']
file,7c5909f6ae4e30ed1bd8625571790d7dc8d721da1bc1f9aaaf7fa464a4541ea4,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,7e8cd3cc9010e8d55943a491ad3e915f32c6f623fa7a62b247a5d545dfff6fd8,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,966474abe018536e7224466129b9351a4bd850270f66fbfa206c1279c4f2a04a,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,989362e61facd0a0d4d9edccb7e67e8fe23b639fb67a533f2518d799be150cbc,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,9ac8ad208c37d0176d2b449cfa175e21881b2b37980a716ab6ba591921da8f6f,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,a01e12988448a5b26d1d1adecc2dda539b5842f6a7044f8803a52c8bb714cdb0,2022-02-04T04:22:22Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[100, 50]","['malware', 'phishing']"
file,a707e779e5b228f670ed09777ccacfb75af8a36c34323af7790290d70bca0083,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,ae05bb40000bc961ce901c082c3c2adb8bd9d8c4cf3f1addc4e75db6c498479a,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,b27372960d28d3f36c93988a0b6df9d3f8211b2a252cd375e179bb8a9b54559b,2022-02-04T04:22:22Z,2022-03-06T11:56:04Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']",[90],['malware']
